World,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Difficulty
AI Escape Room,1,What is a transformer in modern AI?,A neural architecture using self-attention to process sequences in parallel.,A model that only works for images using convolution layers.,A simple rule-based system for if/else logic.,A hardware chip used exclusively in robotics.,A,easy
AI Escape Room,2,What is Retrieval-Augmented Generation (RAG)?,Using generative models to compress images.,Combining an LLM with external retrieval of documents for better answers.,Training a model only once and freezing it.,A cryptographic protocol for secure hashing.,B,easy
AI Escape Room,3,What is an AI hallucination?,GPU overclocking issue.,Model producing confident but factually wrong or fabricated outputs.,When a model refuses to answer.,Noise in sensor data.,B,hard
AI Escape Room,4,What is multimodal AI?,AI that only works for text data.,"AI that can consume and reason over multiple input types (text, image, audio, video).",AI that runs on multiple GPUs.,AI that can speak multiple human languages only.,B,hard
AI Escape Room,5,What is fine-tuning in machine learning?,Adjusting hyperparameters before training.,Training a pre-trained model on a specific task or dataset.,Removing outliers from data.,Compressing a model to reduce size.,B,easy
AI Escape Room,6,What is the purpose of attention mechanisms in neural networks?,To reduce model size.,To allow models to focus on relevant parts of input data.,To speed up training time.,To prevent overfitting.,B,easy
AI Escape Room,7,What is zero-shot learning?,Training a model with zero data points.,A model performing tasks it wasn't explicitly trained on.,Setting all weights to zero.,Training without a validation set.,B,hard
AI Escape Room,8,What is the difference between supervised and unsupervised learning?,"Supervised uses labeled data, unsupervised finds patterns in unlabeled data.",Supervised is faster than unsupervised.,Unsupervised requires more compute power.,There is no difference.,A,easy
AI Escape Room,9,What is a neural network activation function?,A function that starts the training process.,A function that introduces non-linearity to help learn complex patterns.,A function that saves model weights.,A function that loads training data.,B,easy
AI Escape Room,10,What is transfer learning?,Moving data between servers.,Using knowledge from one task to improve performance on another task.,Transferring model ownership.,Converting models between frameworks.,B,easy
AI Escape Room,11,What is the vanishing gradient problem?,"When gradients become too small during backpropagation, hindering learning.",When the model runs out of memory.,When training data disappears.,When the learning rate is too high.,A,hard
AI Escape Room,12,What is batch normalization?,Processing data in batches.,A technique to normalize layer inputs to stabilize and speed up training.,Removing bad data samples.,Grouping similar data together.,B,hard
AI Escape Room,13,What is the purpose of dropout in neural networks?,To remove bad training examples.,To randomly disable neurons during training to prevent overfitting.,To speed up inference.,To reduce model size.,B,easy
AI Escape Room,14,What is an embedding in NLP?,A way to compress text files.,A dense vector representation of words or tokens in continuous space.,A type of neural network architecture.,A data preprocessing technique.,B,easy
AI Escape Room,15,What is the difference between precision and recall?,Precision is true positives / predicted positives; Recall is true positives / actual positives.,They are the same metric.,"Precision measures speed, recall measures accuracy.","Precision is for classification, recall is for regression.",A,hard
AI Escape Room,16,What is a convolutional neural network (CNN) primarily used for?,Text generation.,Image processing and computer vision tasks.,Time series prediction.,Audio synthesis.,B,easy
AI Escape Room,17,What is reinforcement learning?,Training with extra labeled data.,Learning through trial and error with rewards and penalties.,Repeating training multiple times.,Using multiple models together.,B,easy
AI Escape Room,18,What is the purpose of a loss function?,To delete bad data.,To measure how well the model's predictions match the actual values.,To compress the model.,To visualize training progress.,B,easy
AI Escape Room,19,What is gradient descent?,A method to reduce model size.,An optimization algorithm to minimize the loss function by updating weights.,A way to clean data.,A neural network architecture.,B,easy
AI Escape Room,20,What is overfitting?,When a model is too large.,When a model learns training data too well and performs poorly on new data.,When training takes too long.,When the model uses too much memory.,B,easy
AI Escape Room,21,What is a recurrent neural network (RNN) good for?,Image classification.,Sequential data like text or time series.,Static tabular data.,Clustering tasks.,B,easy
AI Escape Room,22,What is the purpose of a validation set?,To train the model.,To tune hyperparameters and evaluate model performance during training.,To test the final model.,To store backup data.,B,easy
AI Escape Room,23,What is ensemble learning?,Training one large model.,Combining multiple models to improve overall performance.,Using multiple GPUs.,Training on multiple datasets.,B,hard
AI Escape Room,24,What is the bias-variance tradeoff?,Choosing between fast and slow training.,Balancing model simplicity (bias) and complexity (variance) for best generalization.,Deciding between CPU and GPU.,Choosing between supervised and unsupervised learning.,B,hard
AI Escape Room,25,What is a GAN (Generative Adversarial Network)?,A network for data compression.,"Two networks (generator and discriminator) competing to create realistic data.",A type of supervised learning.,A data cleaning algorithm.,B,hard
AI Escape Room,26,What is tokenization in NLP?,Encrypting text data.,Breaking text into smaller units like words or subwords.,Removing punctuation.,Translating text.,B,easy
AI Escape Room,27,What is the purpose of a learning rate?,To control how fast data is loaded.,To control the size of weight updates during training.,To measure model accuracy.,To set the number of epochs.,B,easy
AI Escape Room,28,What is cross-validation?,Training on multiple datasets.,A technique to assess model performance by splitting data into multiple folds.,Validating data quality.,Comparing different models.,B,hard
AI Escape Room,29,What is feature engineering?,Building new hardware.,Creating or transforming input features to improve model performance.,Removing features from data.,Visualizing features.,B,easy
AI Escape Room,30,What is the softmax function used for?,To reduce model size.,To convert raw scores into probabilities for multi-class classification.,To normalize input data.,To speed up training.,B,hard
AI Escape Room,31,What is data augmentation?,Adding more servers.,Creating modified versions of training data to increase dataset size and diversity.,Removing duplicate data.,Compressing data.,B,easy
AI Escape Room,32,What is the purpose of pooling layers in CNNs?,To increase image resolution.,"To reduce spatial dimensions and computational cost while retaining important features.",To add more layers.,To colorize images.,B,hard
AI Escape Room,33,What is early stopping?,Ending training manually.,Stopping training when validation performance stops improving to prevent overfitting.,Starting training early.,Reducing the number of epochs.,B,easy
AI Escape Room,34,What is a hyperparameter?,A parameter learned during training.,"A configuration setting set before training (like learning rate or batch size).",A type of neural network.,A data preprocessing step.,B,easy
AI Escape Room,35,What is the F1 score?,The first layer's output.,The harmonic mean of precision and recall.,The training speed metric.,The number of features.,B,hard
AI Escape Room,36,What is backpropagation?,Moving data backwards.,An algorithm to calculate gradients and update weights by propagating errors backward.,Reversing predictions.,Undoing training.,B,hard
AI Escape Room,37,What is a confusion matrix?,A matrix that confuses the model.,"A table showing true positives, false positives, true negatives, and false negatives.",A type of neural network layer.,A data visualization tool.,B,easy
AI Escape Room,38,What is the purpose of regularization?,To make training faster.,To prevent overfitting by adding penalties to the loss function.,To increase model size.,To clean data.,B,easy
AI Escape Room,39,What is a pre-trained model?,A model that failed training.,A model already trained on a large dataset that can be fine-tuned for specific tasks.,A model without weights.,A model that trains itself.,B,easy
AI Escape Room,40,"What is the difference between AI, ML, and Deep Learning?",They are all the same thing.,"AI is the broadest concept, ML is a subset of AI, and Deep Learning is a subset of ML.","Deep Learning came first, then ML, then AI.",AI is only for robots.,B,easy
AI Escape Room,41,What is model inference?,Training a model.,Using a trained model to make predictions on new data.,Evaluating model accuracy.,Saving model weights.,B,easy
AI Escape Room,42,What is the purpose of batch size in training?,To set the model size.,To determine how many samples are processed before updating weights.,To control the learning rate.,To set the number of layers.,B,easy
AI Escape Room,43,What is a latent space?,Empty space in memory.,A compressed representation of data in lower dimensions.,The final output layer.,A type of activation function.,B,hard
AI Escape Room,44,What is the purpose of normalization in data preprocessing?,To remove data.,To scale features to a similar range for better model performance.,To add more features.,To visualize data.,B,easy
AI Escape Room,45,What is a decision tree?,A tree-like model that makes decisions based on feature values through branching.,A neural network architecture.,A data structure for storage.,A visualization tool.,A,easy
AI Escape Room,46,What is the curse of dimensionality?,Having too many dimensions in your office.,"As feature dimensions increase, data becomes sparse and models need exponentially more data.",When models are too small.,When training is too fast.,B,hard
AI Escape Room,47,What is a random forest?,A forest with random trees.,An ensemble of decision trees that vote on predictions.,A single decision tree.,A data cleaning technique.,B,easy
AI Escape Room,48,What is the purpose of an optimizer in training?,To optimize data storage.,To update model weights efficiently to minimize the loss function.,To speed up data loading.,To compress the model.,B,easy
AI Escape Room,49,What is prompt engineering?,Building hardware for AI.,Crafting effective input prompts to get better outputs from language models.,Engineering training data.,Optimizing model architecture.,B,easy
AI Escape Room,50,What is the difference between classification and regression?,"Classification predicts categories, regression predicts continuous values.",They are the same.,Classification is faster.,Regression only works with images.,A,easy
ML Model Builder,1,Your training dataset has 15% missing values in a numeric column. What's a reasonable first approach?,Drop all rows with any missing value.,Impute with median or mean based on distribution.,Replace missing values with zero blindly.,Randomly fill values from another column.,B,easy
ML Model Builder,2,"You're predicting churn (yes/no) on a tabular dataset with mixed numeric and categorical features. Baseline model?",Linear Regression,K-Means Clustering,Random Forest / Gradient Boosted Trees,PCA,C,easy
ML Model Builder,3,Train accuracy is 0.99 but validation accuracy is 0.68. What's the most direct mitigation?,Increase model complexity further.,Add regularization / early stopping / dropout.,Remove validation split.,Train for many more epochs.,B,hard
ML Model Builder,4,You have 500 features but only 1000 samples. What's the risk?,No risk; more features are always better.,High risk of overfitting due to curse of dimensionality.,The model will train faster.,Features don't matter for model performance.,B,hard
ML Model Builder,5,Your model performs well on training but poorly on test data. What's happening?,The model is underfitting.,The model is overfitting.,The model is perfect.,The data is corrupted.,B,easy
ML Model Builder,6,Which metric is best for imbalanced classification (99% negative class)?,Accuracy,F1 Score or AUC-ROC,Mean Squared Error,R-squared,B,hard
ML Model Builder,7,What's the purpose of a train-test split?,To train faster.,To evaluate model performance on unseen data.,To reduce dataset size.,To clean data.,B,easy
ML Model Builder,8,Your categorical feature has 1000 unique values. What's a good encoding strategy?,One-hot encode all values.,Use target encoding or embeddings.,Ignore the feature.,Convert to numeric arbitrarily.,B,hard
ML Model Builder,9,Learning rate is too high. What symptom do you see?,Training loss oscillates or diverges.,Training is too slow.,Model accuracy is perfect.,No symptoms.,A,easy
ML Model Builder,10,What's the benefit of using cross-validation?,Faster training.,More robust performance estimates by testing on multiple data splits.,Larger models.,Better visualizations.,B,easy
ML Model Builder,11,Your model has high bias. What should you do?,Add more training data.,Increase model complexity.,Decrease model complexity.,Remove features.,B,easy
ML Model Builder,12,What's the purpose of a confusion matrix?,To confuse the model.,To visualize classification performance (TP/FP/TN/FN).,To plot training loss.,To show feature importance.,B,easy
ML Model Builder,13,You want to predict house prices. Which algorithm type?,Classification,Regression,Clustering,Dimensionality reduction,B,easy
ML Model Builder,14,What's the purpose of feature scaling?,To make features look better.,To ensure features contribute equally to distance-based algorithms.,To remove features.,To add features.,B,easy
ML Model Builder,15,Your gradient boosting model is overfitting. What helps?,Increase number of trees.,Reduce tree depth or add regularization.,Remove all features.,Train longer.,B,hard
ML Model Builder,16,What's the difference between bagging and boosting?,No difference.,Bagging trains models in parallel; boosting trains sequentially focusing on errors.,Bagging is faster.,Boosting uses less memory.,B,hard
ML Model Builder,17,What's a good first step in any ML pipeline?,Deploy the model.,Explore and understand the data (EDA).,Train immediately.,Delete outliers.,B,easy
ML Model Builder,18,Your model predicts probabilities. How do you convert to binary predictions?,Always predict 1.,Use a threshold (typically 0.5).,Random selection.,Always predict 0.,B,easy
ML Model Builder,19,What's the purpose of a validation set?,To train the model.,To tune hyperparameters without touching test data.,To store extra data.,To clean data.,B,easy
ML Model Builder,20,Your time series model is leaking future information. What's the issue?,Data leakage - using future data to predict past.,The model is too good.,No issue.,The data is sorted.,A,hard
ML Model Builder,21,What's the purpose of L1 regularization?,To make training faster.,To add penalty on absolute weights; can lead to sparse models.,To increase model size.,To remove data.,B,hard
ML Model Builder,22,What's the purpose of L2 regularization?,To delete features.,To add penalty on squared weights; prevents large weights.,To speed up training.,To add more layers.,B,hard
ML Model Builder,23,Your neural network isn't learning (loss stays flat). What could help?,Decrease learning rate further.,Check learning rate; try different initialization; check data.,Train longer only.,Add more layers.,B,hard
ML Model Builder,24,What's the purpose of batch gradient descent?,To process all data at once before updating weights.,To process data in batches for efficiency.,To remove batches.,To visualize data.,B,easy
ML Model Builder,25,What's stochastic gradient descent (SGD)?,Processing all data at once.,Updating weights after each single sample.,Never updating weights.,Random training.,B,easy
ML Model Builder,26,Your model has high variance. What should you do?,Add more features.,Add more training data or reduce model complexity.,Remove all data.,Train longer.,B,easy
ML Model Builder,27,What's the purpose of early stopping?,To stop training early randomly.,To stop when validation performance stops improving.,To start training early.,To never stop training.,B,easy
ML Model Builder,28,What's a good way to handle outliers?,Always delete them.,Analyze context; consider capping/transformation or robust algorithms.,Ignore them.,Set to zero.,B,easy
ML Model Builder,29,Your model training is very slow. What could help?,Add more features.,Use smaller batch size; use GPU; reduce model complexity.,Add more layers.,Train longer.,B,easy
ML Model Builder,30,What's the purpose of data augmentation?,To delete data.,To artificially increase training data through transformations.,To compress data.,To visualize data.,B,easy
ML Model Builder,31,What's transfer learning in deep learning?,Moving data between servers.,Using pre-trained model weights as starting point for new task.,Transferring ownership.,Converting frameworks.,B,easy
ML Model Builder,32,Your classification model always predicts the majority class. What's wrong?,Perfect model.,Model hasn't learned; check learning rate/data/loss function.,Too complex.,Too simple.,B,easy
ML Model Builder,33,What's the purpose of dropout?,To remove data.,To randomly drop neurons during training to prevent overfitting.,To speed up inference.,To reduce model size.,B,easy
ML Model Builder,34,What's the purpose of batch normalization?,To process batches.,To normalize layer inputs for stable and faster training.,To remove batches.,To visualize batches.,B,easy
ML Model Builder,35,Your model performs well on validation but poorly on test. What happened?,Perfect model.,Possible data leakage or validation set not representative.,Model is too simple.,Model is too complex.,B,hard
ML Model Builder,36,What's the purpose of learning rate scheduling?,To schedule meetings.,To adjust learning rate during training for better convergence.,To schedule data loading.,To schedule model saving.,B,hard
ML Model Builder,37,What's the purpose of momentum in optimization?,To make training slower.,To accelerate convergence by accumulating past gradients.,To stop training.,To remove gradients.,B,hard
ML Model Builder,38,Your model has many correlated features. What could help?,Keep all features.,Use PCA or feature selection to reduce redundancy.,Add more features.,Ignore correlation.,B,hard
ML Model Builder,39,What's the purpose of grid search?,To search for data.,To systematically search hyperparameter combinations.,To search for bugs.,To search for models.,B,easy
ML Model Builder,40,What's the purpose of random search?,To search randomly.,To randomly sample hyperparameter combinations (often more efficient).,To search for data.,To randomize training.,B,easy
ML Model Builder,41,Your model predictions are biased toward one class. What could help?,Ignore it.,Adjust class weights or use resampling techniques.,Remove the class.,Train longer.,B,hard
ML Model Builder,42,What's the purpose of feature importance?,To make features important.,To identify which features contribute most to predictions.,To remove features.,To add features.,B,easy
ML Model Builder,43,Your model is too slow for production. What could help?,Add more features.,Model compression/quantization or use simpler model.,Add more layers.,Train longer.,B,easy
ML Model Builder,44,What's the purpose of A/B testing in ML?,To test alphabets.,To compare model performance in production with control.,To test data.,To test hardware.,B,easy
ML Model Builder,45,Your model drifts over time in production. What's happening?,Model is perfect.,Data distribution is changing; model needs retraining.,Model is too simple.,Model is too complex.,B,hard
ML Model Builder,46,What's the purpose of model versioning?,To count versions.,To track and manage different model iterations.,To delete models.,To compress models.,B,easy
ML Model Builder,47,Your model has data leakage. What does this mean?,Data is leaking from servers.,Training data contains information from test data or future.,Data is corrupted.,Data is missing.,B,hard
ML Model Builder,48,What's the purpose of feature crosses?,To delete features.,To create interaction features by combining existing features.,To cross out features.,To visualize features.,B,hard
ML Model Builder,49,Your model needs to explain predictions. Which approach?,Use any model.,Use interpretable models (linear/tree) or SHAP/LIME.,Use more complex models.,Ignore explanations.,B,hard
ML Model Builder,50,What's the purpose of ensemble methods?,To use one model.,To combine multiple models for better performance.,To delete models.,To compress models.,B,easy
GenAI Prompt Arena,1,Original: 'Write code.' What is the better prompt for a production-ready function?,Write any JavaScript code you want.,"Write a Python function named `add` that takes two integers and returns their sum. Include type hints and one usage example.",Code please.,Explain life in code form.,B,easy
GenAI Prompt Arena,2,Which instruction is best to reduce hallucination when asking about niche APIs?,If you don't know; invent an answer.,Always respond with code only.,"If you are not certain, say you are unsure and indicate what documentation I should check.",Ignore unspecified details.,C,hard
GenAI Prompt Arena,3,Which prompt is more token-efficient while maintaining clarity?,"Please write a very detailed, comprehensive, and extremely thorough explanation...",Explain in 3 sentences:,"Tell me everything you know about this topic in great detail...",Describe this:,B,easy
GenAI Prompt Arena,4,You want consistent JSON output. What should you include in the prompt?,Nothing specific.,Specify exact JSON structure with example.,Just ask for JSON.,Hope for the best.,B,easy
GenAI Prompt Arena,5,Which prompt technique helps with complex tasks?,Give one vague instruction.,Break task into step-by-step instructions (chain-of-thought).,Use shortest possible prompt.,Never give examples.,B,easy
GenAI Prompt Arena,6,How do you prevent the model from making up facts?,Encourage creativity.,Instruct to only use provided context and admit uncertainty.,Ask for detailed answers.,Use shorter prompts.,B,hard
